mk	0.5	0.5	0.9	0	0.5	0.5	1	1	0	0
dxy	1	1	0	0	0.75	0.75	0.75	0.75	0	0
aehs	1	1	0	0.75	0.75	0.75	0	0	0	0
yy	0.5	0.5	0.75	0	0.5	0.5	1	1	0	0
llz	1	1	0	0	0.75	0.75	0	0	0	0
fls	1	1	0.75	0	0.55	0.55	0	0	0	0
nxd	1	1	0.3	1	0.55	0.55	0	0	0	0
lyl	1	1	0.55	0	0.55	0.55	1	1	0	0
nl	1	1	0	0.75	0	0	1	1	0	0
sn	1	1	0	0.75	0.75	0.75	0	0	0	0
kds	0.5	0.5	0.55	0	0	0	1	1	0	0
dl	0.5	0.5	0.55	0	0.75	0.75	0.75	0.75	0	0
tnl	1	1	0	0.75	0.75	0.75	0	0	0	0
kelai	1	1	0.55	0.75	0.75	0.75	0	0	0	0
lyypz	1	1	0	0.75	0.75	0.75	0	0	0	0
jqr	0.5	0.5	0.55	1	0.75	0.75	1	1	0	0
yl	1	1	0.55	0	0	0	0.8	0.8	0	0
sllr	1	1	0	0	0.75	0.75	0.5	0.5	0	0
bcsz	1	1	0	0.75	0.75	0.75	0	0	0	0
sh	1	1	0.55	0	1	1	0	0	0	0
yj	0.5	0.5	0.9	0	0	0	0	0	1	1
hlyd	1	1	0.3	0	0.5	0.5	0	0	1	1
wl	0.5	0.5	0.9	0	0.5	0.5	0	0	1	1
bnt	0.5	0.5	1	0	0.5	0.5	1	1	0	0
fywy	1	1	0.55	1	0.75	0.75	0	0	0	0
ldjj	1	1	0.75	0	0.75	0.75	0	0	0	0
xq	1	1	0.55	0	0.75	0.75	0	0	0	0
zl	1	1	0.55	0	0.75	0.75	0.8	0.8	0	0
sllh	1	1	0	0	0.75	0.75	0	0	0	0
xl	1	1	0.55	0.75	0.75	0.75	0	0	0	0
ht	1	1	0	0.75	0.5	0.5	0.8	0.8	0	0
gy	1	1	0	0.75	0.75	0.75	0	0	0	0
wd	1	1	0.55	0.75	0.75	0.75	0	0	0	0
shgxh	0	0	0.55	0.75	0.5	0.5	1	1	0	0
mn	1	1	0.75	0.75	0.75	0.75	0	0	0	0
abd	1	1	0	0	0	0	0	0	1	1
dan	0.5	0.5	0.9	0	0.5	0.5	1	1	0	0
youla	1	1	0.3	0	0.75	0.75	0	0	0	0
ddly	1	1	0	0.75	0.75	0.75	0	0	0	0
x	1	1	0.55	0	0.75	0.75	0	0	0	0
xg	1	1	0	0.75	0.75	0.75	0	0	0	0
jtsl	1	1	0.55	0	0.75	0.75	0	0	0	0
q	1	1	0.55	0	0.75	0.75	0	0	0	0
fxe	1	1	0	0.75	0.75	0.75	0	0	0	0
lsly	1	1	0	0	0.75	0.75	0	0	0	0
kl	1	1	0	0.75	0.75	0.75	0	0	0	0
ng	1	1	0	0	0.75	0.75	0	0	0	0
bd	1	1	0.55	0.75	0.75	0.75	0	0	0	0
kq	1	1	0	0.75	0.75	0.75	0	0	0	0
tm	0.5	0.5	0.9	0	0.5	0.5	1	1	0	0
dlk	1	1	0	0.75	0.75	0.75	0	0	0	0
bbl	0.5	0.5	0.55	0	0.5	0.5	1	1	0	0
nae	1	1	0.7	0	0.5	0.5	0	0	0.9	0.9
lxzc	1	1	0.55	0.75	0.75	0.75	0	0	0	0
lxzl	1	1	0	0.75	0.75	0.75	0	0	0	0
lxzy	1	1	0	0	0.75	0.75	0	0	0	0
lxzf	1	1	0	0.75	0.75	0.75	0	0	0	0
cy	1	1	0.55	0.75	0.75	0.75	0	0	0	0
qq	1	1	0.55	0	1	1	0	0	0	0
ky	1	1	0	0	0.75	0.75	0	0	0	0
yf	1	1	0	0.75	0.75	0.75	0	0	0	0
zy	0.5	0.5	0.55	1	0.5	0.5	0	0	0	0
ab	1	1	0	0.75	0.75	0.75	0	0	0	0
ls	1	1	0	0.75	0.75	0.75	0	0	0	0
aly	1	1	0	0	0.75	0.75	0	0	0	0
xy	1	1	0.55	0	0.75	0.75	0	0	0	0
st	1	1	0.55	1	0.75	0.75	0	0	0	0
lz	1	1	0	0	0.75	0.75	0	0	0	0
fnn	1	1	0.3	0	0	0	1	1	0	0
lnt	1	1	0	0	0.75	0.75	0	0	0	0
fmn	1	1	0	0	0.75	0.75	0	0	0	0
xld	0.5	0.5	0.75	0	1	1	0	0	0	0
